Empresa, Rubro, Observaciones, Link
Submural, Principal, Limpieza final en espera, link
GAG, Electricidad, Faltan tapas y probar la corriente, link 
TyM, Sanitaria, Falta probar termotanque(s), link
Destefano, Mesadas, Mármol travertino , link
Holik, Muebles, Falta colocar terminaciones, link
Welltechnik, Carpinterías, Falta colocar mosquiteros, link
Patagonia, Pisos de madera, Sin observaciones, link
Arguello, Marcos de espejos, Falta colocar, link
